condition,experiment_track,prompt_type,latency_ms_mean,latency_ms_p50,latency_ms_p95,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,total_tokens_sum,retry_rate,tokens_per_evidence_hit,VQI_mean,QI_mean
A_D0,系统方法对比,模板生成（系统方法）,5799.07,5013.6,11941.98,133.16,385.26,518.42,25921.0,0.0,25921.0,72.17,37.4168
B_D0,系统方法对比,通用大模型（系统方法）,3135.514,2972.5,4819.75,137.02,205.22,342.24,17112.0,0.0,N/A,82.8,28.339
C_D0,系统方法对比,结构化全量（生产版）,37686.154,37658.6,52263.88,1155.28,2144.78,3300.06,165003.0,0.0,608.9,27.18,89.7046
BASELINE_D0,提示词工程阶梯,普通Prompt,21964.136,18817.95,39111.98,783.28,1862.96,2646.24,132312.0,0.0,444.0,37.13,98.2494
P1_D0,提示词工程阶梯,Role Prompt,24531.104,23547.85,42574.24,820.28,1894.24,2714.52,135726.0,0.0,457.0,36.11,98.0248
P2_D0,提示词工程阶梯,Structured Prompt,32073.052,30302.4,56578.25,1044.58,2145.3,3189.88,159494.0,0.02,565.6,30.12,96.0702
P3_D0,提示词工程阶梯,CoT Prompt,35782.652,31553.1,80055.09,1100.28,2397.32,3497.6,174880.0,0.0,605.1,27.63,96.6334
P4_D0,提示词工程阶梯,Few-shot Prompt,36013.766,33974.65,54085.1,1486.28,1998.5,3484.78,174239.0,0.0,657.5,26.53,92.4502
P5_D0,提示词工程阶梯,可信性约束 Prompt,35440.68,32287.95,53917.37,1565.28,2044.5,3609.78,180489.0,0.0,676.0,25.24,91.1256
P6_D0,提示词工程阶梯,增量语义 Prompt,41395.918,39911.7,60331.44,1734.28,2312.02,4046.3,202315.0,0.0,749.3,21.5,87.0116
