condition,experiment_track,prompt_type,PQI_mean,Re_assist_micro,Re_disciplined_micro,structured_compliance_mean,field_completeness_rate,readability_mean,evidence_calibration_mean,delta_PQI_vs_production,is_production_prompt,PQI_rank
C_D0,系统方法对比,结构化全量（生产版）,97.71,0.9033,0.8913,1.0,1.0,5.0,0.9867,0.0,True,1
P6_D0,提示词工程阶梯,增量语义 Prompt,97.68,0.9,0.891,1.0,1.0,5.0,0.99,-0.03,False,2
P5_D0,提示词工程阶梯,可信性约束 Prompt,97.5,0.89,0.884,1.0,1.0,5.0,0.9933,-0.21,False,3
P2_D0,提示词工程阶梯,Structured Prompt,96.56,0.94,0.9087,0.98,0.96,4.927,0.9667,-1.15,False,4
P4_D0,提示词工程阶梯,Few-shot Prompt,95.99,0.8833,0.8833,1.0,0.94,5.0,1.0,-1.72,False,5
P3_D0,提示词工程阶梯,CoT Prompt,95.79,0.9633,0.9601,1.0,0.86,5.0,0.9967,-1.92,False,6
BASELINE_D0,提示词工程阶梯,普通Prompt,91.5,0.9933,0.6158,0.9,0.96,4.79,0.5167,-6.21,False,7
P1_D0,提示词工程阶梯,Role Prompt,90.82,0.99,0.495,0.9286,0.96,4.856,0.5067,-6.89,False,8
A_D0,系统方法对比,模板生成（系统方法）,8.69,0.0033,0.0001,0.0371,0.08,1.56,0.0333,-89.02,False,9
B_D0,系统方法对比,通用大模型（系统方法）,5.61,0.0,0.0,0.0514,0.0,1.494,0.0,-92.1,False,10
