condition,experiment_track,prompt_type,N,success_rate,PQI_mean,Re_assist_micro,Re_disciplined_micro,evidence_calibration_mean,responsibility_consistency,Ef_assist_micro,fact_consistency_rate,readability_mean,structured_compliance_mean,field_completeness_rate,confidence_present_rate,evidence_count_mean,evidence_fill_ratio_mean,derived_signal_recall_mean,rawText_non_overlap_mean,QI_mean,VQI_mean,Re_per_1k_tokens,QI_per_1k_tokens,latency_ms_mean,total_tokens_mean,tokens_per_evidence_hit
A_D0,系统方法对比,模板生成（系统方法）,50,1.0,8.69,0.0033,0.0001,0.0333,1.0,0.0625,0.9375,1.56,0.0371,0.08,0.16,0.2,0.0333,0.0667,0.0236,37.4168,72.17,0.0064,72.1747,5799.07,518.42,25921.0
B_D0,系统方法对比,通用大模型（系统方法）,50,1.0,5.61,0.0,0.0,0.0,0.58,0.0732,0.9268,1.494,0.0514,0.0,0.0,0.0,0.0,0.08,0.7502,28.339,82.8,0.0,82.8045,3135.514,342.24,N/A
C_D0,系统方法对比,结构化全量（生产版）,50,1.0,97.71,0.9033,0.8913,0.9867,0.74,0.0734,0.9266,5.0,1.0,1.0,1.0,5.92,0.9867,0.77,0.9863,89.7046,27.18,0.2737,27.1827,37686.154,3300.06,608.9
BASELINE_D0,提示词工程阶梯,普通Prompt,50,1.0,91.5,0.9933,0.6158,0.5167,1.0,0.0412,0.9588,4.79,0.9,0.96,1.0,7.14,1.19,0.98,0.9086,98.2494,37.13,0.3754,37.1279,21964.136,2646.24,444.0
P1_D0,提示词工程阶梯,Role Prompt,50,1.0,90.82,0.99,0.495,0.5067,0.98,0.0414,0.9586,4.856,0.9286,0.96,1.0,7.5,1.25,0.97,0.9177,98.0248,36.11,0.3647,36.1113,24531.104,2714.52,457.0
P2_D0,提示词工程阶梯,Structured Prompt,50,1.0,96.56,0.94,0.9087,0.9667,0.98,0.048,0.952,4.927,0.98,0.96,0.98,5.8,0.9667,0.8767,0.9459,96.0702,30.12,0.2947,30.1172,32073.052,3189.88,565.6
P3_D0,提示词工程阶梯,CoT Prompt,50,1.0,95.79,0.9633,0.9601,0.9967,0.94,0.0511,0.9489,5.0,1.0,0.86,1.0,5.98,0.9967,0.88,0.8486,96.6334,27.63,0.2754,27.6285,35782.652,3497.6,605.1
P4_D0,提示词工程阶梯,Few-shot Prompt,50,1.0,95.99,0.8833,0.8833,1.0,0.92,0.07,0.93,5.0,1.0,0.94,1.0,6.0,1.0,0.7533,0.9266,92.4502,26.53,0.2535,26.5297,36013.766,3484.78,657.5
P5_D0,提示词工程阶梯,可信性约束 Prompt,50,1.0,97.5,0.89,0.884,0.9933,0.84,0.0724,0.9276,5.0,1.0,1.0,1.0,5.96,0.9933,0.7567,0.9843,91.1256,25.24,0.2466,25.2441,35440.68,3609.78,676.0
P6_D0,提示词工程阶梯,增量语义 Prompt,50,1.0,97.68,0.9,0.891,0.99,0.62,0.0904,0.9096,5.0,1.0,1.0,1.0,5.94,0.99,0.76,0.998,87.0116,21.5,0.2224,21.504,41395.918,4046.3,749.3
