condition,experiment_track,prompt_type,N,success_rate,Re_assist_micro,responsibility_consistency,Ef_assist_micro,fact_consistency_rate,readability_mean,structured_compliance_mean,field_completeness_rate,evidence_count_mean,evidence_fill_ratio_mean,evidence_calibration_mean,Re_disciplined_micro,PQI_mean,derived_signal_recall_mean,rawText_non_overlap_mean,analysis_depth_chars_mean,suggestion_count_mean,QI_mean,VQI_mean,Re_per_1k_tokens,QI_per_1k_tokens,latency_ms_mean,total_tokens_mean,tokens_per_evidence_hit,completion_to_prompt_ratio,retry_rate,latency_per_1k_tokens
A_D0,系统方法对比,模板生成（系统方法）,50,1.0,0.0033,1.0,0.0625,0.9375,1.56,0.0371,0.08,0.2,0.0333,0.0333,0.0001,8.23,0.0667,0.0236,7.94,0.22,37.4168,72.17,0.0064,72.1747,5799.07,518.42,25921.0,2.8932,0.0,11186.05
B_D0,系统方法对比,通用大模型（系统方法）,50,1.0,0.0,0.58,0.0732,0.9268,1.494,0.0514,0.0,0.0,0.0,0.0,0.0,5.61,0.08,0.7502,0.0,0.0,28.339,82.8,0.0,82.8045,3135.514,342.24,,1.4977,0.0,9161.74
C_D0,系统方法对比,结构化全量（生产版）,50,1.0,0.9033,0.74,0.0734,0.9266,5.0,1.0,1.0,5.92,0.9867,0.9867,0.8913,97.13,0.77,0.9863,456.24,4.96,89.7046,27.18,0.2737,27.1827,37686.154,3300.06,608.9,1.8565,0.0,11419.84
BASELINE_D0,提示词工程阶梯,普通Prompt,50,1.0,0.9933,1.0,0.0412,0.9588,4.79,0.9,0.96,7.14,1.19,0.5167,0.6158,91.7,0.98,0.9086,368.66,3.6,98.2494,37.13,0.3754,37.1279,21964.136,2646.24,444.0,2.3784,0.0,8300.13
P1_D0,提示词工程阶梯,Role Prompt,50,1.0,0.99,0.98,0.0414,0.9586,4.856,0.9286,0.96,7.5,1.25,0.5067,0.495,91.0,0.97,0.9177,437.68,3.7,98.0248,36.11,0.3647,36.1113,24531.104,2714.52,457.0,2.3093,0.0,9037.0
P2_D0,提示词工程阶梯,Structured Prompt,50,1.0,0.94,0.98,0.048,0.952,4.927,0.98,0.96,5.8,0.9667,0.9667,0.9087,96.44,0.8767,0.9459,436.28,4.9,96.0702,30.12,0.2947,30.1172,32073.052,3189.88,565.6,2.0537,0.02,10054.63
P3_D0,提示词工程阶梯,CoT Prompt,50,1.0,0.9633,0.94,0.0511,0.9489,5.0,1.0,0.86,5.98,0.9967,0.9967,0.9601,96.41,0.88,0.8486,530.52,4.98,96.6334,27.63,0.2754,27.6285,35782.652,3497.6,605.1,2.1788,0.0,10230.63
P4_D0,提示词工程阶梯,Few-shot Prompt,50,1.0,0.8833,0.92,0.07,0.93,5.0,1.0,0.94,6.0,1.0,1.0,0.8833,95.65,0.7533,0.9266,521.8,4.88,92.4502,26.53,0.2535,26.5297,36013.766,3484.78,657.5,1.3446,0.0,10334.59
P5_D0,提示词工程阶梯,可信性约束 Prompt,50,1.0,0.89,0.84,0.0724,0.9276,5.0,1.0,1.0,5.96,0.9933,0.9933,0.884,96.84,0.7567,0.9843,503.52,4.96,91.1256,25.24,0.2466,25.2441,35440.68,3609.78,676.0,1.3062,0.0,9817.96
P6_D0,提示词工程阶梯,增量语义 Prompt,50,1.0,0.9,0.62,0.0904,0.9096,5.0,1.0,1.0,5.94,0.99,0.99,0.891,97.08,0.76,0.998,494.92,4.96,87.0116,21.5,0.2224,21.504,41395.918,4046.3,749.3,1.3331,0.0,10230.56
FINAL_D0,提示词工程阶梯,完整版 Prompt,50,1.0,0.89,0.64,0.0896,0.9104,5.0,1.0,1.0,5.9,0.9833,0.9833,0.8751,96.72,0.7733,0.9941,455.52,4.84,86.9548,25.02,0.256,25.0162,37425.002,3475.94,650.9,1.771,0.04,10766.87
