condition,N,success_N,success_rate,Re_assist_micro,Re_disciplined_micro,Re_assist_mean,responsibility_consistency,N_wrong_assist,N_claim_assist,Ef_assist_micro,fact_consistency_rate,readability_mean,structured_compliance_mean,field_completeness_rate,confidence_present_rate,evidence_count_mean,evidence_fill_ratio_mean,evidence_calibration_mean,PQI_mean,derived_signal_recall_mean,rawText_chars_mean,rawText_non_overlap_mean,analysis_depth_chars_mean,suggestion_count_mean,text_chars_mean,latency_ms_mean,latency_ms_p50,latency_ms_p95,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,total_tokens_sum,completion_to_prompt_ratio,retry_rate,QI_mean,evidence_hits_total,tokens_per_evidence_hit,VQI_mean,Re_per_1k_tokens,QI_per_1k_tokens,latency_per_1k_tokens,group_code,prompt_type,experiment_track
A_D0,50,50,1.0,0.0033,0.0001,0.0033,1.0,6,96,0.0625,0.9375,1.56,0.0371,0.08,0.16,0.2,0.0333,0.0333,8.23,0.0667,13.78,0.0236,7.94,0.22,94.36,5799.07,5013.6,11941.98,133.16,385.26,518.42,25921.0,2.8932,0.0,37.4168,1,25921.0,72.17,0.0064,72.1747,11186.05,A,模板生成（系统方法）,系统方法对比
B_D0,50,50,1.0,0.0,0.0,0.0,0.58,18,246,0.0732,0.9268,1.494,0.0514,0.0,0.0,0.0,0.0,0.0,5.61,0.08,191.96,0.7502,0.0,0.0,250.96,3135.514,2972.5,4819.75,137.02,205.22,342.24,17112.0,1.4977,0.0,28.339,0,,82.8,0.0,82.8045,9161.74,B,通用大模型（系统方法）,系统方法对比
C_D0,50,50,1.0,0.9033,0.8913,0.9033,0.74,29,395,0.0734,0.9266,5.0,1.0,1.0,1.0,5.92,0.9867,0.9867,97.13,0.77,475.76,0.9863,456.24,4.96,1560.46,37686.154,37658.6,52263.88,1155.28,2144.78,3300.06,165003.0,1.8565,0.0,89.7046,271,608.9,27.18,0.2737,27.1827,11419.84,C,结构化全量（生产版）,系统方法对比
BASELINE_D0,50,50,1.0,0.9933,0.6158,0.9933,1.0,21,510,0.0412,0.9588,4.79,0.9,0.96,1.0,7.14,1.19,0.5167,91.7,0.98,1269.5,0.9086,368.66,3.6,2062.6,21964.136,18817.95,39111.98,783.28,1862.96,2646.24,132312.0,2.3784,0.0,98.2494,298,444.0,37.13,0.3754,37.1279,8300.13,BASELINE,普通Prompt,提示词工程阶梯
P1_D0,50,50,1.0,0.99,0.495,0.99,0.98,21,507,0.0414,0.9586,4.856,0.9286,0.96,1.0,7.5,1.25,0.5067,91.0,0.97,1213.48,0.9177,437.68,3.7,2150.02,24531.104,23547.85,42574.24,820.28,1894.24,2714.52,135726.0,2.3093,0.0,98.0248,297,457.0,36.11,0.3647,36.1113,9037.0,P1,Role Prompt,提示词工程阶梯
P2_D0,50,50,1.0,0.94,0.9087,0.94,0.98,23,479,0.048,0.952,4.927,0.98,0.96,0.98,5.8,0.9667,0.9667,96.44,0.8767,836.22,0.9459,436.28,4.9,1888.82,32073.052,30302.4,56578.25,1044.58,2145.3,3189.88,159494.0,2.0537,0.02,96.0702,282,565.6,30.12,0.2947,30.1172,10054.63,P2,Structured Prompt,提示词工程阶梯
P3_D0,50,50,1.0,0.9633,0.9601,0.9633,0.94,24,470,0.0511,0.9489,5.0,1.0,0.86,1.0,5.98,0.9967,0.9967,96.41,0.88,766.26,0.8486,530.52,4.98,1959.84,35782.652,31553.1,80055.09,1100.28,2397.32,3497.6,174880.0,2.1788,0.0,96.6334,289,605.1,27.63,0.2754,27.6285,10230.63,P3,CoT Prompt,提示词工程阶梯
P4_D0,50,50,1.0,0.8833,0.8833,0.8833,0.92,28,400,0.07,0.93,5.0,1.0,0.94,1.0,6.0,1.0,1.0,95.65,0.7533,110.94,0.9266,521.8,4.88,1212.56,36013.766,33974.65,54085.1,1486.28,1998.5,3484.78,174239.0,1.3446,0.0,92.4502,265,657.5,26.53,0.2535,26.5297,10334.59,P4,Few-shot Prompt,提示词工程阶梯
P5_D0,50,50,1.0,0.89,0.884,0.89,0.84,28,387,0.0724,0.9276,5.0,1.0,1.0,1.0,5.96,0.9933,0.9933,96.84,0.7567,101.92,0.9843,503.52,4.96,1189.5,35440.68,32287.95,53917.37,1565.28,2044.5,3609.78,180489.0,1.3062,0.0,91.1256,267,676.0,25.24,0.2466,25.2441,9817.96,P5,可信性约束 Prompt,提示词工程阶梯
P6_D0,50,50,1.0,0.9,0.891,0.9,0.62,35,387,0.0904,0.9096,5.0,1.0,1.0,1.0,5.94,0.99,0.99,97.08,0.76,384.28,0.998,494.92,4.96,1444.8,41395.918,39911.7,60331.44,1734.28,2312.02,4046.3,202315.0,1.3331,0.0,87.0116,270,749.3,21.5,0.2224,21.504,10230.56,P6,增量语义 Prompt,提示词工程阶梯
FINAL_D0,50,50,1.0,0.89,0.8751,0.89,0.64,37,413,0.0896,0.9104,5.0,1.0,1.0,1.0,5.9,0.9833,0.9833,96.72,0.7733,486.34,0.9941,455.52,4.84,1590.02,37425.002,37000.05,58514.65,1254.38,2221.56,3475.94,173797.0,1.771,0.04,86.9548,267,650.9,25.02,0.256,25.0162,10766.87,FINAL,完整版 Prompt,提示词工程阶梯
