PQI排名,实验条件,Prompt类型,生产质量PQI,证据召回Re,结构化合规,九字段齐全率,较生产版ΔPQI
1,C_D0,结构化全量（生产版）,97.71,0.9033,1.0,1.0,0.0
2,P6_D0,增量语义 Prompt,97.68,0.9,1.0,1.0,-0.03
3,P5_D0,可信性约束 Prompt,97.5,0.89,1.0,1.0,-0.21
4,P2_D0,Structured Prompt,96.56,0.94,0.98,0.96,-1.15
5,P4_D0,Few-shot Prompt,95.99,0.8833,1.0,0.94,-1.72
6,P3_D0,CoT Prompt,95.79,0.9633,1.0,0.86,-1.92
7,BASELINE_D0,普通Prompt,91.5,0.9933,0.9,0.96,-6.21
8,P1_D0,Role Prompt,90.82,0.99,0.9286,0.96,-6.89
9,A_D0,模板生成（系统方法）,8.69,0.0033,0.0371,0.08,-89.02
10,B_D0,通用大模型（系统方法）,5.61,0.0,0.0514,0.0,-92.1
