condition,eventType,N,success_N,success_rate,Re_assist_micro,Re_disciplined_micro,Re_assist_mean,responsibility_consistency,N_wrong_assist,N_claim_assist,Ef_assist_micro,fact_consistency_rate,readability_mean,structured_compliance_mean,field_completeness_rate,confidence_present_rate,evidence_count_mean,evidence_fill_ratio_mean,evidence_calibration_mean,PQI_mean,derived_signal_recall_mean,rawText_chars_mean,rawText_non_overlap_mean,analysis_depth_chars_mean,suggestion_count_mean,text_chars_mean,latency_ms_mean,latency_ms_p50,latency_ms_p95,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,total_tokens_sum,completion_to_prompt_ratio,retry_rate,QI_mean,evidence_hits_total,tokens_per_evidence_hit,VQI_mean,Re_per_1k_tokens,QI_per_1k_tokens,latency_per_1k_tokens
A_D0,AEB_DELAY_OR_MISS,6,6,1.0,0.0278,0.0023,0.0278,1.0,0,13,0.0,1.0,1.7917,0.0714,0.1667,0.3333,0.5,0.0833,0.0833,14.22,0.2223,2.1667,0.0,13.1667,0.3333,97.6667,5243.9833,4598.95,8301.35,135.1667,342.6667,477.8333,2867.0,2.5351,0.0,40.2083,1,2867.0,84.15,0.0582,84.1471,10974.5
A_D0,AUTOPILOT_FAULT,6,6,1.0,0.0,0.0,0.0,1.0,0,12,0.0,1.0,1.525,0.0238,0.0,0.1667,0.0,0.0,0.0,5.93,0.0,6.0,0.0,0.3333,0.1667,71.6667,5578.6333,4180.15,10106.88,134.0,360.1667,494.1667,2965.0,2.6878,0.0,37.625,0,N/A,76.14,0.0,76.1383,11288.97
A_D0,COLLISION,7,7,1.0,0.0,0.0,0.0,1.0,1,16,0.0625,0.9375,1.6071,0.0612,0.1429,0.1429,0.4286,0.0714,0.0714,11.17,0.0,8.1429,0.1429,12.2857,0.4286,92.2857,3868.4,2850.3,6935.69,129.4286,252.0,381.4286,2670.0,1.947,0.0,37.56,0,N/A,98.47,0.0,98.4719,10141.87
A_D0,DRIVER_SLOW_REACTION,6,6,1.0,0.0,0.0,0.0,1.0,1,7,0.1429,0.8571,1.575,0.0238,0.1667,0.1667,0.1667,0.0278,0.0278,10.42,0.0,28.8333,0.0,12.3333,0.1667,120.5,6781.25,4651.8,12211.05,133.8333,485.6667,619.5,3717.0,3.6289,0.0,37.0417,0,N/A,59.79,0.0,59.7929,10946.33
A_D0,DRIVER_TAKEOVER_FAIL,6,6,1.0,0.0,0.0,0.0,1.0,2,8,0.25,0.75,1.525,0.0238,0.0,0.1667,0.0,0.0,0.0,5.93,0.1667,0.0,0.0,10.5,0.1667,87.6667,5279.9,4111.5,10842.33,135.1667,349.5,484.6667,2908.0,2.5857,0.0,35.9583,0,N/A,74.19,0.0,74.1918,10893.88
A_D0,ENVIRONMENT_DISTURB,6,6,1.0,0.0,0.0,0.0,1.0,1,7,0.1429,0.8571,1.35,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0,23.3333,0.0303,0.0,0.0,93.3333,7619.8667,6878.55,14303.38,132.5,500.8333,633.3333,3800.0,3.7799,0.0,35.9167,0,N/A,56.71,0.0,56.7106,12031.37
A_D0,MULTI_FACTOR,7,7,1.0,0.0,0.0,0.0,1.0,1,15,0.0667,0.9333,1.4643,0.0204,0.0,0.1429,0.0,0.0,0.0,5.56,0.0,13.2857,0.0,0.8571,0.0,77.7143,6784.5857,6346.9,10785.21,132.7143,429.4286,562.1429,3935.0,3.2357,0.0,36.8457,0,N/A,65.55,0.0,65.5451,12069.15
A_D0,TTC_LOW_RISK,6,6,1.0,0.0,0.0,0.0,1.0,0,18,0.0,1.0,1.65,0.0714,0.1667,0.1667,0.5,0.0833,0.0833,12.35,0.1667,29.5,0.0,14.5,0.5,117.1667,5393.4667,4949.6,8691.23,133.1667,376.6667,509.8333,3059.0,2.8285,0.0,38.25,0,N/A,75.02,0.0,75.0245,10578.88
BASELINE_D0,AEB_DELAY_OR_MISS,6,6,1.0,1.0,0.0,1.0,1.0,3,57,0.0526,0.9474,4.8417,0.9047,1.0,1.0,9.6667,1.6111,0.2778,85.43,0.9722,1251.6667,0.9451,362.3333,3.8333,2113.3333,21968.5167,21171.6,30667.7,827.0,1919.6667,2746.6667,16480.0,2.3212,0.0,98.7083,36,457.8,35.94,0.3641,35.9375,7998.25
BASELINE_D0,AUTOPILOT_FAULT,6,6,1.0,1.0,0.8056,1.0,1.0,2,63,0.0317,0.9683,4.7583,0.8809,0.8333,1.0,4.8333,0.8056,0.6389,90.32,0.9722,1235.8333,0.8059,369.3333,3.3333,2050.6667,20551.1833,18310.05,30833.95,822.0,1801.8333,2623.8333,15743.0,2.192,0.0,98.4883,36,437.3,37.54,0.3811,37.536,7832.5
